Ligand,s641a_LGFE,s641a_LE,hERG_9CHQ_LGFE,9chq_LE,Nav1.5_6LQA_LGFE,6lqa_LE,Risk,optN_n_LGFE,TdP,hERG5_LGFE,Cav1.2_LGFE,optn_LE,cavRef_LE,MEOO,GEND,GEHC,hERG5_GENA,PRPC,hERG5_MAMN,BENC,ACEC,MAMC,FORC,MEOO9,GEND9,GEHC9,hERG9_GENA,PRPC9,hERG9_MAMN,hERG9_BENC,ACEC9,MAMC9,FORC9,Nav1.5_MEOO,GEND6,GEHC6,GENA6,PRPC6,Nav1.5_MAMN,Nav1.5_BENC,ACEC6,MAMC6,FORC6,MEOOs,GENDs,GEHCs,GENAs,PRPCs,hERGS_MAMN,BENCs,ACECs,MAMCs,MEOOc,Cav1.2_GEND,GEHCc,Cav1.2_GENA,PRPCc,Cav1.2_MAMN,BENCc,ACECc,MAMCc,MolWt,LogP,TPSA,NumHAcceptors,NumHDonors,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount,BertzCT,BalabanJ,Kappa1,Kappa2,Kappa3,smiles
Abarelix_PR_p,-17.774,-0.176,-12.341,-0.122,-34.458,-0.341,PR,-23.066,1,-24.112,-2.952,,,-0.35,-1.91,-0.28,-4.16,-5.41,-6.2,-5.81,0,0,0,-0.6,0.8,0.83,-0.58,-2.09,-0.75,-9.94,0,0,0,-0.87,-4.9,-0.44,-6.38,-9.3,-0.16,-12.47,0,0,0,-0.51,-0.98,-0.72,-1.46,-3.87,-1.3,-8.89,0,0,0.34,3.01,1.65,1.36,-0.12,-0.4,-8.77,0,0,1449.095,-1.6907,466.62,27,26,59,6,0,1,101,6230.490482,2.061686664,24.20037244,45.76100152,30.34564891,[H]OC1C([H])C([H])C(C([H])([H])C([H])(C(O)N([H])C([H])(C(O)N([H])C([H])(C(O)N([H])C([H])(C(O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])C(O)N([H])C([H])(C(O)N([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(O)N([H])[H])N(C(O)C([H])(N([H])C(O)C([H])(N([H])C(O)C([H])(N([H])C(O)C([H])(N([H])C(O)C([H])([H])[H])C([H])([H])C2C([H])C([H])C3C([H])C([H])C([H])C([H])C3C2[H])C([H])([H])C2C([H])C([H])C(C)C([H])C2[H])C([H])([H])C2C([H])NC([H])C([H])C2[H])C([H])([H])O[H])C([H])([H])[H])C([H])C1[H]
Abiraterone_CR_p,-9.427,-0.363,-6.252,-0.24,-14.494,-0.557,CR,-8.849,1,-9.006,-6.695,,,-0.7,0,-0.72,-0.52,-5.2,0,-1.85,0,0,0,0.3,0,-0.08,-0.97,-3.94,0,-1.55,0,0,0,-0.46,0,-1.04,-0.75,-10.36,0,-1.86,0,0,0,-0.24,0,-1.11,-0.18,-6.89,0,-1,0,0,-0.28,0,-1.21,-0.25,-3.43,0,-1.53,0,0,359.598,5.0058,32.26,2,2,4,5,0,1,26,1662.802623,2.181643273,4.337218323,6.476708958,2.570322173,[H]OC1([H])C([H])([H])C2C([H])C([H])([H])C3([H])C4([H])C([H])([H])C([H])C(C5C([H])NC([H])C([H])C5[H])C4(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])C2(C([H])([H])[H])C([H])([H])C1([H])[H]
Aclarubicin_KR_p,-11.323,-0.195,-11.717,-0.202,-24.785,-0.427,KR,-15.148,1,-14.409,-8.601,,,-1.26,0,0,-3.24,-4.59,-1.1,-4.17,0,0,0,0.17,0,0,-3.92,-2.04,-1.5,-4.41,0,0,0,-1.32,0,0,-4.38,-9.91,-2.5,-6.67,0,0,0,-1.04,0,0,-1.1,-6.85,-0.31,-1.99,0,0,-0.97,0,0,0.49,-2.53,-0.78,-4.81,0,0,833.046,-0.9605,230.89,15,9,21,7,0,1,58,3496.263642,1.690553179,13.22850939,18.22225068,8.545429014,[H]OC1C([H])C([H])C([H])C2C(O)C3C([H])C4C(C(O[H])C3C(O)C12)C([H])(OC1([H])OC([H])(C([H])([H])[H])C([H])(OC2([H])OC([H])(C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])[H])C(O)C([H])([H])C3([H])[H])C([H])(O[H])C2([H])[H])C([H])([N+]([H])(C([H])([H])[H])C([H])([H])[H])C1([H])[H])C([H])([H])C(O[H])(C([H])([H])C([H])([H])[H])C4([H])C(O)OC([H])([H])[H]
Adagrasib_PR_p,-11.735,-0.273,-11.561,-0.269,-22.725,-0.528,PR,-14.702,1,-17.601,-8.158,,,0,0,-0.35,-3.15,-3.78,-6.2,-4.09,0,0,0,0,0,0.48,-2.04,-3.77,-0.92,-5.32,0,0,0,0,0,-0.59,-5.42,-4.93,-4.8,-7.05,0,0,0,0,0,-0.97,-0.69,-4.7,-1.6,-3.77,0,0,0,0,0.97,0.05,-2.01,-1.7,-5.48,0,0,608.912,0.7894,93.7,8,5,11,6,0,1,43,2302.425368,1.712500554,10.5332622,14.55196833,7.126379614,[H]C([H])C(F)C(O)N1C([H])([H])C([H])([H])N(C2NC(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])[N+]3([H])C([H])([H])[H])NC3C2C([H])([H])C([H])([H])N(C2C([H])C([H])C([H])C4C([H])C([H])C([H])C(C)C42)C3([H])[H])C([H])([H])C1([H])C([H])([H])CN
Alfuzosin_PR_p,-9.021,-0.322,-8.471,-0.303,-17.215,-0.615,PR,-12.807,1,-12.807,-5.645,,,0,-0.78,-0.32,-4.52,-4.29,0,-2.87,0,0,0,0,-0.3,0.03,-3.18,-2.09,0,-2.94,0,0,0,0,-1.02,-0.65,-5.24,-6.61,0,-3.69,0,0,0,0,-0.23,-0.64,-0.96,-3.85,0,-3.32,0,0,0,-0.99,0.4,0.05,-2.12,0,-2.99,0,0,401.552,-1.0349,113.27,9,5,13,3,0,1,28,1379.701953,2.137239554,6.114486498,10.60383262,5.410306754,[H]C1C2NC(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(O)C3([H])OC([H])([H])C([H])([H])C3([H])[H])NC(N([H])[H])C2C([H])C(OC([H])([H])[H])C1OC([H])([H])[H]
Amantadine_CR_p,-7.023,-0.638,-5.433,-0.494,-11.63,-1.057,CR,-6.398,1,-9.262,-4.901,,,0,0,0,0,-3.41,-5.9,0,0,0,0,0,0,0,0,-3.73,-1.7,0,0,0,0,0,0,0,0,-8.54,-3.1,0,0,0,0,0,0,0,0,-5.38,-1.6,0,0,0,0,0,0,0,-3.1,-1.8,0,0,0,152.261,1.1971,27.64,0,1,1,4,0,1,11,677.8560166,2.796618364,1.13429842,1.820089738,0.868251812,[H]C1([H])C2([H])C([H])([H])C3([H])C([H])([H])C1([H])C([H])([H])C([N+]([H])([H])[H])(C2([H])[H])C3([H])[H]
Amiodarone_KR_p,-9.829,-0.317,-7.976,-0.257,-17.762,-0.573,KR,-12.094,1,-15.268,-8.453,,,0,0,-0.63,-2.32,-3.46,-6.2,-2.63,0,0,0,0,0,0.33,-1.65,-2.74,-0.21,-3.71,0,0,0,0,0,-1.31,-3.34,-4.65,-3.8,-4.71,0,0,0,0,0,-1.29,-0.76,-3.39,-1.7,-2.67,0,0,0,0,-0.83,0.18,-2.32,-1.6,-3.83,0,0,662.455,4.4384,43.13,3,2,14,3,0,1,31,1532.548088,2.189476034,7.653661516,13.40502451,6.923145913,[H]C1C([H])C([H])C2C(OC(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C2C(O)C2C([H])C(I)C(OC([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C(I)C2[H])C1[H]
Amisulpride_CR_p,-8.116,-0.325,-6.888,-0.276,-16.96,-0.678,CR,-10.654,1,-13.878,-6.203,,,0,-1.1,0,-2.03,-3.49,-5.2,-2,0,0,0,0,-2.8,0,-0.7,-1.47,-0.79,-1.1,0,0,0,0,-0.92,0,-2.66,-6.35,-2.8,-4.33,0,0,0,0,-0.23,0,-0.74,-3.1,-1.7,-2.34,0,0,0,0.53,0,-0.29,-2.47,-1,-2.98,0,0,380.575,-0.147,112.41,6,6,12,2,0,1,25,1356.974003,3.067083816,4.968139426,9.322365093,5.073790282,[H]C1C(OC([H])([H])[H])C(C(O)N([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])[N+]2([H])C([H])([H])C([H])([H])[H])C([H])C(S(O)(O)C([H])([H])C([H])([H])[H])C1N([H])[H]
Amitriptyline_CR_p,-9.134,-0.435,-8.929,-0.425,-15.219,-0.725,CR,-9.439,1,-12.51,-7.94,,,0,0,0,0,-2.51,-5.2,-4.75,0,0,0,0,0,0,0,-2.1,-1,-5.8,0,0,0,0,0,0,0,-4.29,-3.6,-7.34,0,0,0,0,0,0,0,-2.66,-0.66,-5.79,0,0,0,0,0,0,-0.82,-2,-5.15,0,0,292.531,3.9339,4.44,0,1,6,3,0,1,21,1023.545504,2.461189369,3.786658811,7.485749654,3.837543449,[H]C1C([H])C([H])C2C(C1[H])C(C([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])C1C([H])C([H])C([H])C([H])C1C([H])([H])C2([H])[H]
Anagrelide_KR_p,-5.144,-0.321,-6.122,-0.383,-17.663,-1.104,KR,-7.531,1,-9.558,-4.516,,,0,0,-0.3,-1.28,-0.29,-6.2,-1.45,0,0,0,0,0,-0.22,-0.8,-0.49,-1.7,-2.92,0,0,0,0,0,0,-1.28,-0.79,-4,-1.49,0,-10.1,0,0,0,0.75,-0.29,-0.53,-1.6,-3.51,0,0,0,0,0.44,0.06,-0.41,-1.8,-2.81,0,0,225.336,0.1476,47.53,4,3,0,3,0,1,16,524.5314412,2.136422991,5.224418522,3.94585442,1.681229085,[H]C1C([H])C2C(C(C)C1C)C([H])([H])N1C(N2[H])N([H])C(O)C1([H])[H]
